Layer name;0-43200[sec];0-43200[sec];0-43200[sec];43200-86400[sec];43200-86400[sec];43200-86400[sec];86400-129600[sec];86400-129600[sec];86400-129600[sec];129600-172800[sec];129600-172800[sec];129600-172800[sec];172800-216000[sec];172800-216000[sec];172800-216000[sec]
1105;22.0;7.0;0.111;0.0;0.0;0.0;39.0;19.0;0.302;0.0;0.0;0.0;28.0;15.0;0.238
1212;21.0;11.0;0.2;0.0;0.0;0.0;40.0;31.0;0.564;0.0;0.0;0.0;4.0;3.0;0.055
1358;24.0;14.0;0.275;0.0;0.0;0.0;30.0;15.0;0.294;0.0;0.0;0.0;13.0;6.0;0.118
1341;7.0;7.0;0.233;0.0;0.0;0.0;13.0;13.0;0.433;0.0;0.0;0.0;10.0;10.0;0.333
1041;5.0;2.0;0.043;0.0;0.0;0.0;27.0;15.0;0.326;0.0;0.0;0.0;28.0;16.0;0.348
1213;12.0;7.0;0.14;0.0;0.0;0.0;9.0;7.0;0.14;0.0;0.0;0.0;36.0;30.0;0.6
1135;11.0;5.0;0.096;0.0;0.0;0.0;43.0;31.0;0.596;0.0;0.0;0.0;10.0;4.0;0.077
1177;21.0;18.0;0.474;0.0;0.0;0.0;9.0;8.0;0.211;0.0;0.0;0.0;12.0;8.0;0.211
1155;13.0;6.0;0.083;0.0;0.0;0.0;49.0;31.0;0.431;0.0;0.0;0.0;31.0;15.0;0.208
1051;10.0;7.0;0.167;0.0;0.0;0.0;16.0;13.0;0.31;0.0;0.0;0.0;21.0;17.0;0.405
1179;27.0;15.0;0.326;0.0;0.0;0.0;19.0;8.0;0.174;0.0;0.0;0.0;14.0;9.0;0.196
1206;19.0;10.0;0.204;0.0;0.0;0.0;34.0;19.0;0.388;0.0;0.0;0.0;11.0;5.0;0.102
1056;7.0;4.0;0.093;0.0;0.0;0.0;23.0;13.0;0.302;0.0;0.0;0.0;23.0;16.0;0.372
1131;21.0;13.0;0.228;0.0;0.0;0.0;18.0;11.0;0.193;0.0;0.0;0.0;30.0;22.0;0.386
1113;11.0;6.0;0.105;0.0;0.0;0.0;40.0;28.0;0.491;0.0;0.0;0.0;19.0;10.0;0.175
1181;11.0;7.0;0.189;0.0;0.0;0.0;13.0;9.0;0.243;0.0;0.0;0.0;19.0;16.0;0.432
1126;20.0;5.0;0.082;0.0;0.0;0.0;20.0;9.0;0.148;0.0;0.0;0.0;42.0;27.0;0.443
1127;16.0;9.0;0.225;0.0;0.0;0.0;14.0;10.0;0.25;0.0;0.0;0.0;18.0;13.0;0.325
1171;34.0;19.0;0.345;0.0;0.0;0.0;13.0;6.0;0.109;0.0;0.0;0.0;29.0;11.0;0.2
1049;17.0;12.0;0.316;0.0;0.0;0.0;10.0;4.0;0.105;0.0;0.0;0.0;19.0;15.0;0.395
1229;10.0;8.0;0.222;0.0;0.0;0.0;14.0;11.0;0.306;0.0;0.0;0.0;17.0;12.0;0.333
1166;4.0;0.0;0.0;0.0;0.0;0.0;12.0;7.0;0.219;0.0;0.0;0.0;23.0;18.0;0.562
1133;28.0;17.0;0.288;0.0;0.0;0.0;34.0;23.0;0.39;0.0;0.0;0.0;10.0;6.0;0.102
1227;20.0;19.0;0.413;0.0;0.0;0.0;15.0;12.0;0.261;0.0;0.0;0.0;15.0;11.0;0.239
1214;20.0;10.0;0.192;0.0;0.0;0.0;18.0;12.0;0.231;0.0;0.0;0.0;27.0;19.0;0.365
1191;25.0;16.0;0.281;0.0;0.0;0.0;13.0;6.0;0.105;0.0;0.0;0.0;32.0;22.0;0.386
1089;15.0;8.0;0.222;0.0;0.0;0.0;15.0;12.0;0.333;0.0;0.0;0.0;13.0;9.0;0.25
1136;27.0;19.0;0.413;0.0;0.0;0.0;9.0;6.0;0.13;0.0;0.0;0.0;18.0;13.0;0.283
1082;15.0;12.0;0.24;0.0;0.0;0.0;26.0;22.0;0.44;0.0;0.0;0.0;13.0;12.0;0.24
1117;23.0;12.0;0.3;0.0;0.0;0.0;17.0;9.0;0.225;0.0;0.0;0.0;12.0;7.0;0.175
1114;11.0;5.0;0.111;0.0;0.0;0.0;11.0;8.0;0.178;0.0;0.0;0.0;32.0;23.0;0.511
1040;50.0;28.0;0.4;0.0;0.0;0.0;29.0;8.0;0.114;0.0;0.0;0.0;19.0;8.0;0.114
1154;6.0;3.0;0.097;0.0;0.0;0.0;2.0;2.0;0.065;0.0;0.0;0.0;26.0;23.0;0.742
1148;3.0;2.0;0.062;0.0;0.0;0.0;19.0;18.0;0.562;0.0;0.0;0.0;12.0;10.0;0.312
1088;18.0;13.0;0.342;0.0;0.0;0.0;10.0;7.0;0.184;0.0;0.0;0.0;16.0;12.0;0.316
1061;11.0;8.0;0.32;0.0;0.0;0.0;15.0;12.0;0.48;0.0;0.0;0.0;2.0;2.0;0.08
1156;17.0;15.0;0.517;0.0;0.0;0.0;9.0;8.0;0.276;0.0;0.0;0.0;5.0;4.0;0.138
1065;13.0;11.0;0.393;0.0;0.0;0.0;5.0;4.0;0.143;0.0;0.0;0.0;12.0;11.0;0.393
1085;3.0;1.0;0.031;0.0;0.0;0.0;14.0;13.0;0.406;0.0;0.0;0.0;18.0;15.0;0.469
1152;13.0;11.0;0.344;0.0;0.0;0.0;13.0;12.0;0.375;0.0;0.0;0.0;8.0;7.0;0.219
1149;15.0;13.0;0.481;0.0;0.0;0.0;5.0;4.0;0.148;0.0;0.0;0.0;10.0;7.0;0.259
1162;11.0;8.0;0.157;0.0;0.0;0.0;22.0;15.0;0.294;0.0;0.0;0.0;27.0;21.0;0.412
1158;9.0;8.0;0.348;0.0;0.0;0.0;8.0;5.0;0.217;0.0;0.0;0.0;9.0;7.0;0.304
1033;13.0;6.0;0.13;0.0;0.0;0.0;20.0;8.0;0.174;0.0;0.0;0.0;28.0;17.0;0.37
1201;9.0;4.0;0.074;0.0;0.0;0.0;12.0;5.0;0.093;0.0;0.0;0.0;44.0;34.0;0.63
1066;3.0;2.0;0.118;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;14.0;13.0;0.765
1168;8.0;5.0;0.122;0.0;0.0;0.0;23.0;15.0;0.366;0.0;0.0;0.0;19.0;12.0;0.293
1106;7.0;6.0;0.214;0.0;0.0;0.0;13.0;10.0;0.357;0.0;0.0;0.0;11.0;9.0;0.321
1084;5.0;4.0;0.114;0.0;0.0;0.0;17.0;16.0;0.457;0.0;0.0;0.0;15.0;13.0;0.371
1115;11.0;10.0;0.455;0.0;0.0;0.0;8.0;7.0;0.318;0.0;0.0;0.0;4.0;4.0;0.182
1026;2.0;2.0;0.125;0.0;0.0;0.0;12.0;12.0;0.75;0.0;0.0;0.0;2.0;2.0;0.125
1207;3.0;3.0;0.231;0.0;0.0;0.0;10.0;10.0;0.769;0.0;0.0;0.0;0.0;0.0;0.0
1188;1.0;1.0;0.067;0.0;0.0;0.0;14.0;14.0;0.933;0.0;0.0;0.0;0.0;0.0;0.0
1130;2.0;2.0;0.667;0.0;0.0;0.0;1.0;1.0;0.333;0.0;0.0;0.0;0.0;0.0;0.0
1029;0.0;0.0;0.0;0.0;0.0;0.0;6.0;6.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
1035;0.0;0.0;0.0;0.0;0.0;0.0;5.0;5.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
1044;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1046;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1057;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1100;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1102;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1108;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1122;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1128;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1173;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1178;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1204;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
